#
#  cidijet_DijetChi_DILHC_2012_Lambda-11000._MassBin-3000.-3600._Order-1_xmu-1._0039.dat
#
#  Lambda=11000 GeV   cteq66   NLO
#  mass=[ 3000.00, 3600.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -1.73000e-05      1.65600e-06        9.572       1
   2.0        3.0     -1.59300e-04      1.16100e-06        0.729       1
   3.0        4.0     -2.07100e-04      1.28300e-06        0.620       1
   4.0        5.0     -2.14000e-04      1.70100e-06        0.795       1
   5.0        6.0     -2.09000e-04      2.03500e-06        0.974       1
   6.0        7.0     -1.95600e-04      2.30100e-06        1.176       1
   7.0        8.0     -1.75800e-04      2.49600e-06        1.420       1
   8.0        9.0     -1.70600e-04      2.65100e-06        1.554       1
   9.0       10.0     -1.55600e-04      2.81000e-06        1.806       1
  10.0       12.0     -1.39850e-04      2.16100e-06        1.545       1
  12.0       14.0     -1.22800e-04      2.22900e-06        1.815       1
  14.0       16.0     -1.06650e-04      2.33600e-06        2.190       1
