#
#  cidijet_DijetChi_CILHC_2012_Lambda-13000._MassBin-3000.-3600._Order-1_xmu-1._0041.dat
#
#  Lambda=13000 GeV   cteq66   NLO
#  mass=[ 3000.00, 3600.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.20900e-03      8.46700e-06        0.264       1
   2.0        3.0      1.73000e-03      6.74100e-06        0.390       1
   3.0        4.0      1.12600e-03      5.68400e-06        0.505       1
   4.0        5.0      8.09900e-04      5.07300e-06        0.626       1
   5.0        6.0      6.19300e-04      4.59500e-06        0.742       1
   6.0        7.0      4.96100e-04      4.28800e-06        0.864       1
   7.0        8.0      4.04300e-04      4.12400e-06        1.020       1
   8.0        9.0      3.47600e-04      3.91800e-06        1.127       1
   9.0       10.0      2.96300e-04      3.83400e-06        1.294       1
  10.0       12.0      2.39950e-04      2.66800e-06        1.112       1
  12.0       14.0      1.90300e-04      2.54650e-06        1.338       1
  14.0       16.0      1.55450e-04      2.44800e-06        1.575       1
