#
#  cidijet_DijetChi_DILHC_2012_Lambda-5000._MassBin-3000.-3600._Order-0_xmu-1._0000.dat
#
#  Lambda= 5000 GeV   cteq6ll   LO
#  mass=[ 3000.00, 3600.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      7.13300e-02      6.61800e-06        0.009       1
   2.0        3.0      3.48500e-02      6.30400e-06        0.018       1
   3.0        4.0      2.01400e-02      3.72500e-06        0.018       1
   4.0        5.0      1.27800e-02      2.74100e-06        0.021       1
   5.0        6.0      8.60700e-03      1.95300e-06        0.023       1
   6.0        7.0      6.02100e-03      1.15700e-06        0.019       1
   7.0        8.0      4.32100e-03      1.15500e-06        0.027       1
   8.0        9.0      3.14900e-03      9.26300e-07        0.029       1
   9.0       10.0      2.31300e-03      6.28400e-07        0.027       1
  10.0       12.0      1.46950e-03      3.12850e-07        0.021       1
  12.0       14.0      7.48000e-04      1.83000e-07        0.024       1
  14.0       16.0      3.08000e-04      1.31950e-07        0.043       1
