#
#  cidijet_DijetChi_CILHC_2012_Lambda-11000._MassBin-3600.-4200._Order-0_xmu-1._0017.dat
#
#  Lambda=11000 GeV   cteq6ll   LO
#  mass=[ 3600.00, 4200.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.01800e-03      2.43300e-07        0.012       1
   2.0        3.0      1.10900e-03      1.62500e-07        0.015       1
   3.0        4.0      7.41900e-04      1.50800e-07        0.020       1
   4.0        5.0      5.49000e-04      8.42800e-08        0.015       1
   5.0        6.0      4.32600e-04      5.76500e-08        0.013       1
   6.0        7.0      3.55500e-04      4.68900e-08        0.013       1
   7.0        8.0      3.01100e-04      5.23400e-08        0.017       1
   8.0        9.0      2.60800e-04      4.97000e-08        0.019       1
   9.0       10.0      2.30200e-04      3.86900e-08        0.017       1
  10.0       12.0      1.96100e-04      2.31600e-08        0.012       1
  12.0       14.0      1.63400e-04      3.89800e-08        0.024       1
  14.0       16.0      1.40250e-04      2.72300e-08        0.019       1
