#
#  cidijet_DijetChi_DILHC_2012_Lambda-12000._MassBin-3600.-4200._Order-0_xmu-1._0018.dat
#
#  Lambda=12000 GeV   cteq6ll   LO
#  mass=[ 3600.00, 4200.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.14700e-04      2.24900e-08        0.020       1
   2.0        3.0     -6.35100e-06      1.89400e-08        0.298       1
   3.0        4.0     -5.44900e-05      1.23500e-08        0.023       1
   4.0        5.0     -7.39300e-05      1.29500e-08        0.018       1
   5.0        6.0     -8.14700e-05      1.21900e-08        0.015       1
   6.0        7.0     -8.36300e-05      1.60900e-08        0.019       1
   7.0        8.0     -8.32400e-05      1.72900e-08        0.021       1
   8.0        9.0     -8.16000e-05      2.10500e-08        0.026       1
   9.0       10.0     -7.93300e-05      2.17000e-08        0.027       1
  10.0       12.0     -7.56000e-05      1.53900e-08        0.020       1
  12.0       14.0     -7.06000e-05      1.77150e-08        0.025       1
  14.0       16.0     -6.60000e-05      1.55750e-08        0.024       1
