#
#  cidijet_DijetChi_CILHC_2012_Lambda-6000._MassBin-3600.-4200._Order-0_xmu-1._0012.dat
#
#  Lambda= 6000 GeV   cteq6ll   LO
#  mass=[ 3600.00, 4200.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.60700e-02      1.94600e-06        0.012       1
   2.0        3.0      8.48000e-03      1.48600e-06        0.018       1
   3.0        4.0      5.41300e-03      6.94700e-07        0.013       1
   4.0        5.0      3.83400e-03      7.61600e-07        0.020       1
   5.0        6.0      2.90100e-03      5.10300e-07        0.018       1
   6.0        7.0      2.29800e-03      4.02500e-07        0.018       1
   7.0        8.0      1.88300e-03      4.45000e-07        0.024       1
   8.0        9.0      1.58400e-03      3.43000e-07        0.022       1
   9.0       10.0      1.35900e-03      3.32700e-07        0.024       1
  10.0       12.0      1.11650e-03      2.12600e-07        0.019       1
  12.0       14.0      8.91500e-04      1.69350e-07        0.019       1
  14.0       16.0      7.37500e-04      1.44700e-07        0.020       1
