#
#  cidijet_DijetChi_CILHC_2012_Lambda-6000._MassBin-4200.-8000._Order-1_xmu-1._0056.dat
#
#  Lambda= 6000 GeV   cteq66   NLO
#  mass=[ 4200.00, 8000.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.09700e-03      7.19300e-06        0.232       1
   2.0        3.0      1.58500e-03      5.46600e-06        0.345       1
   3.0        4.0      9.79000e-04      4.20000e-06        0.429       1
   4.0        5.0      6.66900e-04      3.31200e-06        0.497       1
   5.0        6.0      4.87900e-04      2.80400e-06        0.575       1
   6.0        7.0      3.72800e-04      2.46100e-06        0.660       1
   7.0        8.0      2.95000e-04      2.20600e-06        0.748       1
   8.0        9.0      2.41200e-04      1.96400e-06        0.814       1
   9.0       10.0      1.98900e-04      1.83000e-06        0.920       1
  10.0       12.0      1.56650e-04      1.19750e-06        0.764       1
  12.0       14.0      1.17950e-04      1.09100e-06        0.925       1
  14.0       16.0      9.15500e-05      9.75000e-07        1.065       1
