#
#  cidijet_DijetChi_DILHC_2012_Lambda-7000._MassBin-4200.-8000._Order-1_xmu-1._0057.dat
#
#  Lambda= 7000 GeV   cteq66   NLO
#  mass=[ 4200.00, 8000.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.07800e-03      2.72300e-06        0.253       1
   2.0        3.0      5.24400e-04      1.92600e-06        0.367       1
   3.0        4.0      3.03800e-04      1.31600e-06        0.433       1
   4.0        5.0      1.95000e-04      9.41100e-07        0.483       1
   5.0        6.0      1.34100e-04      6.95100e-07        0.518       1
   6.0        7.0      9.69700e-05      5.26400e-07        0.543       1
   7.0        8.0      7.19900e-05      4.05100e-07        0.563       1
   8.0        9.0      5.49800e-05      3.19800e-07        0.582       1
   9.0       10.0      4.35400e-05      2.58800e-07        0.594       1
  10.0       12.0      3.14850e-05      1.49150e-07        0.474       1
  12.0       14.0      2.12900e-05      1.18400e-07        0.556       1
  14.0       16.0      1.50350e-05      1.02600e-07        0.682       1
