#
#  CIJET_MassBin-3000-3600_CT10nlo_10000_V-A-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.60531e-03      1.70171e-06        0.065      16
   2.0        3.0      1.50228e-03      1.79859e-06        0.120      36
   3.0        4.0      1.01819e-03      1.86772e-06        0.183      43
   4.0        5.0      7.42200e-04      1.12815e-06        0.152      12
   5.0        6.0      5.67738e-04      1.15941e-06        0.204      13
   6.0        7.0      4.48477e-04      1.51776e-06        0.338      13
   7.0        8.0      3.64669e-04      1.52828e-06        0.419      13
   8.0        9.0      3.02292e-04      1.18002e-06        0.390      13
   9.0       10.0      2.54700e-04      1.34969e-06        0.530      13
  10.0       12.0      2.04565e-04      1.07575e-06        0.526      13
  12.0       14.0      1.56588e-04      5.40507e-07        0.345      13
  14.0       16.0      1.23954e-04      1.70251e-06        1.373      13
