#
#  CIJET_MassBin-3000-3600_CT10nlo_13000_LL-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.06106e-03      2.51578e-06        0.082      16
   2.0        3.0      1.62978e-03      2.09913e-06        0.129      36
   3.0        4.0      1.04484e-03      1.83783e-06        0.176      43
   4.0        5.0      7.39275e-04      1.61815e-06        0.219      12
   5.0        6.0      5.54977e-04      1.02888e-06        0.185      13
   6.0        7.0      4.34292e-04      1.81543e-06        0.418      13
   7.0        8.0      3.49877e-04      1.54010e-06        0.440      13
   8.0        9.0      2.89015e-04      1.43576e-06        0.497      13
   9.0       10.0      2.43746e-04      1.08214e-06        0.444      13
  10.0       12.0      1.92419e-04      8.69755e-07        0.452      13
  12.0       14.0      1.45358e-04      8.25592e-07        0.568      13
  14.0       16.0      1.13542e-04      9.14660e-07        0.806      13
