#
#  CIJET_MassBin-3000-3600_CT10nlo_5000_RR-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      7.39325e-02      5.02660e-05        0.068      16
   2.0        3.0      3.80075e-02      4.64988e-05        0.122      36
   3.0        4.0      2.34756e-02      3.31879e-05        0.141      43
   4.0        5.0      1.60758e-02      2.42930e-05        0.151      12
   5.0        6.0      1.17408e-02      2.06000e-05        0.175      13
   6.0        7.0      8.97446e-03      2.75820e-05        0.307      13
   7.0        8.0      7.10338e-03      1.96576e-05        0.277      13
   8.0        9.0      5.76892e-03      1.29644e-05        0.225      13
   9.0       10.0      4.79331e-03      1.43317e-05        0.299      13
  10.0       12.0      3.74523e-03      1.00242e-05        0.268      13
  12.0       14.0      2.79838e-03      7.85057e-06        0.281      13
  14.0       16.0      2.17238e-03      1.00895e-05        0.464      13
