#
#  CIJET_MassBin-3000-3600_cteq66_11000_RR-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  11000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.02481e-03      3.14576e-06        0.063      16
   2.0        3.0      2.65975e-03      3.15663e-06        0.119      36
   3.0        4.0      1.69507e-03      2.70269e-06        0.159      43
   4.0        5.0      1.19358e-03      2.46644e-06        0.207      12
   5.0        6.0      8.92723e-04      1.47431e-06        0.165      13
   6.0        7.0      6.96523e-04      2.73043e-06        0.392      13
   7.0        8.0      5.60077e-04      2.26206e-06        0.404      13
   8.0        9.0      4.61885e-04      1.98991e-06        0.431      13
   9.0       10.0      3.89008e-04      1.55105e-06        0.399      13
  10.0       12.0      3.07158e-04      1.26258e-06        0.411      13
  12.0       14.0      2.32246e-04      1.13035e-06        0.487      13
  14.0       16.0      1.81765e-04      1.30502e-06        0.718      13
