#
#  CIJET_MassBin-3000-3600_cteq66_14000_AA+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  14000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -4.78181e-04      2.84657e-06        0.595      16
   2.0        3.0     -3.31536e-04      3.09628e-06        0.934      36
   3.0        4.0     -2.68037e-04      3.23103e-06        1.205      43
   4.0        5.0     -2.25700e-04      2.74955e-06        1.218      12
   5.0        6.0     -1.92231e-04      2.13322e-06        1.110      13
   6.0        7.0     -1.65915e-04      2.88440e-06        1.738      13
   7.0        8.0     -1.42400e-04      2.30036e-06        1.615      13
   8.0        9.0     -1.24892e-04      2.69025e-06        2.154      13
   9.0       10.0     -1.10915e-04      1.88009e-06        1.695      13
  10.0       12.0     -8.92500e-05      1.39896e-06        1.567      13
  12.0       14.0     -6.90654e-05      1.40999e-06        2.042      13
  14.0       16.0     -5.44000e-05      1.46045e-06        2.685      13
