#
#  CIJET_MassBin-3000-3600_cteq66_15000_LL-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.04094e-03      1.38894e-06        0.068      16
   2.0        3.0      1.09269e-03      1.47007e-06        0.135      36
   3.0        4.0      7.04281e-04      1.32562e-06        0.188      43
   4.0        5.0      5.00600e-04      1.19469e-06        0.239      12
   5.0        6.0      3.77115e-04      7.74431e-07        0.205      13
   6.0        7.0      2.95900e-04      1.33791e-06        0.452      13
   7.0        8.0      2.38792e-04      1.13171e-06        0.474      13
   8.0        9.0      1.97592e-04      1.07274e-06        0.543      13
   9.0       10.0      1.66862e-04      8.18065e-07        0.490      13
  10.0       12.0      1.31746e-04      6.39812e-07        0.486      13
  12.0       14.0      9.95077e-05      6.06852e-07        0.610      13
  14.0       16.0      7.76654e-05      6.71250e-07        0.864      13
