#
#  CIJET_MassBin-3000-3600_cteq66_20000_AA-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  20000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.01431e-03      1.53704e-06        0.076      16
   2.0        3.0      1.08825e-03      1.64534e-06        0.151      36
   3.0        4.0      7.05126e-04      1.47084e-06        0.209      43
   4.0        5.0      5.01442e-04      1.33380e-06        0.266      12
   5.0        6.0      3.76746e-04      9.36852e-07        0.249      13
   6.0        7.0      2.94362e-04      1.54517e-06        0.525      13
   7.0        8.0      2.35900e-04      1.28906e-06        0.546      13
   8.0        9.0      1.93708e-04      1.31115e-06        0.677      13
   9.0       10.0      1.62369e-04      9.39312e-07        0.579      13
  10.0       12.0      1.25996e-04      7.01624e-07        0.557      13
  12.0       14.0      9.29462e-05      6.75297e-07        0.727      13
  14.0       16.0      7.06500e-05      7.77817e-07        1.101      13
