#
#  CIJET_MassBin-3000-3600_cteq66_8000_AA+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.45225e-02      1.57056e-05        0.108      16
   2.0        3.0      7.28689e-03      1.56730e-05        0.215      36
   3.0        4.0      4.31653e-03      1.45935e-05        0.338      43
   4.0        5.0      2.80350e-03      1.05873e-05        0.378      12
   5.0        6.0      1.93454e-03      9.39517e-06        0.486      13
   6.0        7.0      1.39192e-03      9.74219e-06        0.700      13
   7.0        8.0      1.04338e-03      7.06563e-06        0.677      13
   8.0        9.0      7.96408e-04      8.73980e-06        1.097      13
   9.0       10.0      6.19792e-04      6.55546e-06        1.058      13
  10.0       12.0      4.55927e-04      4.61021e-06        1.011      13
  12.0       14.0      3.10892e-04      4.76191e-06        1.532      13
  14.0       16.0      2.20927e-04      4.31768e-06        1.954      13
