#
#  CIJET_MassBin-3000-3600_cteq6ll_10000_V-A+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.11188e-03      5.00000e-07        0.016      16
   2.0        3.0      1.75708e-03      7.69972e-07        0.044      36
   3.0        4.0      1.17165e-03      5.29318e-07        0.045      43
   4.0        5.0      8.45392e-04      2.39159e-07        0.028      12
   5.0        6.0      6.41277e-04      2.94827e-07        0.046      13
   6.0        7.0      5.04485e-04      1.28103e-07        0.025      13
   7.0        8.0      4.07869e-04      3.19856e-07        0.078      13
   8.0        9.0      3.37046e-04      2.81707e-07        0.084      13
   9.0       10.0      2.83400e-04      3.24037e-07        0.114      13
  10.0       12.0      2.25627e-04      1.25192e-07        0.055      13
  12.0       14.0      1.71712e-04      1.17533e-07        0.068      13
  14.0       16.0      1.35350e-04      1.29099e-07        0.095      13
