#
#  CIJET_MassBin-3000-3600_cteq6ll_12000_RR-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  12000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.77906e-03      1.43614e-06        0.025      16
   2.0        3.0      3.23647e-03      1.05522e-06        0.033      36
   3.0        4.0      2.20647e-03      9.59882e-07        0.044      43
   4.0        5.0      1.66142e-03      5.14929e-07        0.031      12
   5.0        6.0      1.32731e-03      4.80384e-07        0.036      13
   6.0        7.0      1.10392e-03      8.62316e-07        0.078      13
   7.0        8.0      9.45008e-04      6.95775e-07        0.074      13
   8.0        9.0      8.26446e-04      4.23508e-07        0.051      13
   9.0       10.0      7.34669e-04      5.13784e-07        0.070      13
  10.0       12.0      6.32154e-04      4.27425e-07        0.068      13
  12.0       14.0      5.32462e-04      3.20256e-07        0.060      13
  14.0       16.0      4.60985e-04      4.77574e-07        0.104      13
