#
#  CIJET_MassBin-3000-3600_cteq6ll_13000_LL-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      4.58556e-03      1.15289e-06        0.025      16
   2.0        3.0      2.58456e-03      8.43274e-07        0.033      36
   3.0        4.0      1.77370e-03      8.02819e-07        0.045      43
   4.0        5.0      1.34308e-03      2.88675e-07        0.021      12
   5.0        6.0      1.07831e-03      4.80384e-07        0.045      13
   6.0        7.0      9.00554e-04      6.45000e-07        0.072      13
   7.0        8.0      7.73615e-04      5.78570e-07        0.075      13
   8.0        9.0      6.78615e-04      3.53191e-07        0.052      13
   9.0       10.0      6.04808e-04      4.23205e-07        0.070      13
  10.0       12.0      5.22077e-04      4.00320e-07        0.077      13
  12.0       14.0      4.41388e-04      2.59931e-07        0.059      13
  14.0       16.0      3.83196e-04      4.13552e-07        0.108      13
