#
#  CIJET_MassBin-3000-3600_cteq6ll_5000_LL-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.06950e-01      5.16398e-05        0.048      16
   2.0        3.0      5.63050e-02      1.79682e-05        0.032      36
   3.0        4.0      3.58330e-02      1.81967e-05        0.051      43
   4.0        5.0      2.53083e-02      7.17741e-06        0.028      12
   5.0        6.0      1.90846e-02      5.18875e-06        0.027      13
   6.0        7.0      1.50731e-02      1.25064e-05        0.083      13
   7.0        8.0      1.23185e-02      8.00641e-06        0.065      13
   8.0        9.0      1.03277e-02      5.99145e-06        0.058      13
   9.0       10.0      8.83846e-03      5.81113e-06        0.066      13
  10.0       12.0      7.23962e-03      3.79777e-06        0.052      13
  12.0       14.0      5.75462e-03      3.20256e-06        0.056      13
  14.0       16.0      4.74242e-03      3.79059e-06        0.080      13
