#
#  CIJET_MassBin-3000-3600_cteq6ll_6000_AA-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.34700e-01      3.65148e-05        0.027      16
   2.0        3.0      7.24186e-02      2.14013e-05        0.030      36
   3.0        4.0      4.69342e-02      2.04977e-05        0.044      43
   4.0        5.0      3.35933e-02      9.84732e-06        0.029      12
   5.0        6.0      2.55800e-02      7.07107e-06        0.028      13
   6.0        7.0      2.03508e-02      1.38212e-05        0.068      13
   7.0        8.0      1.67254e-02      1.05003e-05        0.063      13
   8.0        9.0      1.40862e-02      8.69718e-06        0.062      13
   9.0       10.0      1.20969e-02      7.51068e-06        0.062      13
  10.0       12.0      9.94846e-03      5.15777e-06        0.052      13
  12.0       14.0      7.93769e-03      2.59437e-06        0.033      13
  14.0       16.0      6.55885e-03      4.16025e-06        0.063      13
