#
#  CIJET_MassBin-3000-3600_cteq6ll_6000_LL+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.06150e-02      7.30297e-06        0.024      16
   2.0        3.0      1.45261e-02      7.66356e-06        0.053      36
   3.0        4.0      8.04302e-03      7.76282e-06        0.097      43
   4.0        5.0      4.83767e-03      3.22866e-06        0.067      12
   5.0        6.0      3.03662e-03      2.93083e-06        0.097      13
   6.0        7.0      1.94077e-03      6.17999e-06        0.318      13
   7.0        8.0      1.23500e-03      1.68325e-06        0.136      13
   8.0        9.0      7.54800e-04      2.72397e-06        0.361      13
   9.0       10.0      4.21815e-04      2.90340e-06        0.688      13
  10.0       12.0      9.60654e-05      1.82476e-06        1.899      13
  12.0       14.0     -1.69835e-04      1.48876e-06        0.877      13
  14.0       16.0     -3.21500e-04      1.40668e-06        0.438      13
