#
#  CIJET_MassBin-3000-3600_cteq6ll_7000_RR-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.22912e-02      8.06226e-06        0.025      16
   2.0        3.0      1.73372e-02      5.66246e-06        0.033      36
   3.0        4.0      1.12891e-02      5.69626e-06        0.050      43
   4.0        5.0      8.15333e-03      2.22928e-06        0.027      12
   5.0        6.0      6.27823e-03      1.48064e-06        0.024      13
   6.0        7.0      5.05500e-03      3.78594e-06        0.075      13
   7.0        8.0      4.20592e-03      2.81252e-06        0.067      13
   8.0        9.0      3.58562e-03      1.85016e-06        0.052      13
   9.0       10.0      3.11646e-03      1.98391e-06        0.064      13
  10.0       12.0      2.60542e-03      1.33613e-06        0.051      13
  12.0       14.0      2.12346e-03      8.28189e-07        0.039      13
  14.0       16.0      1.78846e-03      1.62611e-06        0.091      13
