#
#  CIJET_MassBin-3600-4200_CT10nlo_12000_VV+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  12000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.89725e-04      1.50891e-06        0.387      40
   2.0        3.0      1.78523e-04      1.31490e-06        0.737      43
   3.0        4.0      9.23137e-05      1.20707e-06        1.308      43
   4.0        5.0      4.99817e-05      5.32180e-07        1.065      12
   5.0        6.0      2.76892e-05      4.70289e-07        1.698      12
   6.0        7.0      1.44969e-05      6.43990e-07        4.442      13
   7.0        8.0      6.90746e-06      7.93220e-07       11.484      13
   8.0        9.0      2.47269e-06      5.22804e-07       21.143      13
   9.0       10.0     -6.40769e-08      8.36860e-07     1306.024      13
  10.0       12.0     -2.28738e-06      5.57211e-07       24.360      13
  12.0       14.0     -2.66100e-06      5.70014e-07       21.421      13
  14.0       16.0     -2.87546e-06      3.72602e-07       12.958      13
