#
#  CIJET_MassBin-3600-4200_CT10nlo_13000_V-A+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.19822e-04      1.79011e-07        0.081      40
   2.0        3.0      1.31967e-04      2.06698e-07        0.157      43
   3.0        4.0      9.18642e-05      1.99442e-07        0.217      43
   4.0        5.0      6.80300e-05      1.43083e-07        0.210      12
   5.0        6.0      5.24908e-05      1.16733e-07        0.222      12
   6.0        7.0      4.17385e-05      1.65773e-07        0.397      13
   7.0        8.0      3.40046e-05      1.22380e-07        0.360      13
   8.0        9.0      2.81762e-05      1.65909e-07        0.589      13
   9.0       10.0      2.38108e-05      1.85583e-07        0.779      13
  10.0       12.0      1.89081e-05      7.62818e-08        0.403      13
  12.0       14.0      1.44773e-05      1.19941e-07        0.828      13
  14.0       16.0      1.13169e-05      1.06801e-07        0.944      13
