#
#  CIJET_MassBin-3600-4200_CT10nlo_14000_RR-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  14000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.32660e-04      4.41327e-07        0.070      40
   2.0        3.0      3.35177e-04      4.15668e-07        0.124      43
   3.0        4.0      2.13635e-04      4.21948e-07        0.198      43
   4.0        5.0      1.50300e-04      1.41421e-07        0.094      12
   5.0        6.0      1.12375e-04      1.65831e-07        0.148      12
   6.0        7.0      8.76869e-05      2.31206e-07        0.264      13
   7.0        8.0      7.05292e-05      2.95366e-07        0.419      13
   8.0        9.0      5.79446e-05      2.06866e-07        0.357      13
   9.0       10.0      4.84600e-05      3.35609e-07        0.693      13
  10.0       12.0      3.83085e-05      1.65030e-07        0.431      13
  12.0       14.0      2.85496e-05      1.53099e-07        0.536      13
  14.0       16.0      2.22100e-05      1.24933e-07        0.563      13
