#
#  CIJET_MassBin-3600-4200_CT10nlo_15000_AA+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -3.86155e-05      7.84696e-07        2.032      40
   2.0        3.0     -3.67258e-05      6.88394e-07        1.874      43
   3.0        4.0     -3.49872e-05      6.29604e-07        1.800      43
   4.0        5.0     -3.22000e-05      4.43621e-07        1.378      12
   5.0        6.0     -2.87350e-05      3.27011e-07        1.138      12
   6.0        7.0     -2.57677e-05      4.40230e-07        1.708      13
   7.0        8.0     -2.28523e-05      4.87821e-07        2.135      13
   8.0        9.0     -2.00615e-05      4.23907e-07        2.113      13
   9.0       10.0     -1.76369e-05      6.00019e-07        3.402      13
  10.0       12.0     -1.46273e-05      3.08671e-07        2.110      13
  12.0       14.0     -1.11481e-05      2.50911e-07        2.251      13
  14.0       16.0     -8.68308e-06      2.88499e-07        3.323      13
