#
#  CIJET_MassBin-3600-4200_CT10nlo_15000_RR+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -9.27833e-05      3.78840e-07        0.408      40
   2.0        3.0     -6.13016e-05      3.54085e-07        0.578      43
   3.0        4.0     -4.69684e-05      3.24492e-07        0.691      43
   4.0        5.0     -3.78533e-05      1.80017e-07        0.476      12
   5.0        6.0     -3.11967e-05      1.32482e-07        0.425      12
   6.0        7.0     -2.63177e-05      1.98123e-07        0.753      13
   7.0        8.0     -2.24469e-05      2.48709e-07        1.108      13
   8.0        9.0     -1.92769e-05      1.77782e-07        0.922      13
   9.0       10.0     -1.66931e-05      2.74936e-07        1.647      13
  10.0       12.0     -1.37350e-05      1.61452e-07        1.175      13
  12.0       14.0     -1.05392e-05      1.43902e-07        1.365      13
  14.0       16.0     -8.37269e-06      1.22621e-07        1.465      13
