#
#  CIJET_MassBin-3600-4200_CT10nlo_7000_LL+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.20020e-03      5.16497e-06        0.161      40
   2.0        3.0      1.53551e-03      3.49402e-06        0.228      43
   3.0        4.0      8.73877e-04      3.32529e-06        0.381      43
   4.0        5.0      5.50250e-04      1.48355e-06        0.270      12
   5.0        6.0      3.71758e-04      1.56522e-06        0.421      12
   6.0        7.0      2.62708e-04      1.45285e-06        0.553      13
   7.0        8.0      1.93115e-04      1.49546e-06        0.774      13
   8.0        9.0      1.46400e-04      1.16046e-06        0.793      13
   9.0       10.0      1.13731e-04      1.39426e-06        1.226      13
  10.0       12.0      8.13077e-05      1.14562e-06        1.409      13
  12.0       14.0      5.47538e-05      9.82230e-07        1.794      13
  14.0       16.0      3.87858e-05      7.64975e-07        1.972      13
