#
#  CIJET_MassBin-3600-4200_CT10nlo_7000_VV-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.51193e-02      1.09515e-05        0.072      40
   2.0        3.0      7.99612e-03      7.76503e-06        0.097      43
   3.0        4.0      5.06277e-03      7.99058e-06        0.158      43
   4.0        5.0      3.52775e-03      2.05050e-06        0.058      12
   5.0        6.0      2.61342e-03      3.36988e-06        0.129      12
   6.0        7.0      2.01885e-03      3.23641e-06        0.160      13
   7.0        8.0      1.61038e-03      3.33013e-06        0.207      13
   8.0        9.0      1.31523e-03      2.45472e-06        0.187      13
   9.0       10.0      1.09500e-03      3.16228e-06        0.289      13
  10.0       12.0      8.61615e-04      2.06311e-06        0.239      13
  12.0       14.0      6.42923e-04      1.99840e-06        0.311      13
  14.0       16.0      5.00965e-04      1.03871e-06        0.207      13
