#
#  CIJET_MassBin-3600-4200_CT10nlo_8000_V-A+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.62393e-03      1.16327e-06        0.072      40
   2.0        3.0      9.70514e-04      1.25311e-06        0.129      43
   3.0        4.0      6.75463e-04      1.12758e-06        0.167      43
   4.0        5.0      5.01725e-04      6.49650e-07        0.129      12
   5.0        6.0      3.89042e-04      5.40132e-07        0.139      12
   6.0        7.0      3.10977e-04      5.26235e-07        0.169      13
   7.0        8.0      2.54938e-04      5.25259e-07        0.206      13
   8.0        9.0      2.12931e-04      5.70650e-07        0.268      13
   9.0       10.0      1.81123e-04      6.30018e-07        0.348      13
  10.0       12.0      1.45900e-04      2.59005e-07        0.178      13
  12.0       14.0      1.13008e-04      3.71846e-07        0.329      13
  14.0       16.0      9.01731e-05      3.26353e-07        0.362      13
