#
#  CIJET_MassBin-3600-4200_CT10nlo_8000_VV+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      4.82575e-03      6.42411e-06        0.133      40
   2.0        3.0      2.46886e-03      4.69337e-06        0.190      43
   3.0        4.0      1.50042e-03      4.43596e-06        0.296      43
   4.0        5.0      1.00208e-03      1.72986e-06        0.173      12
   5.0        6.0      7.14117e-04      1.85219e-06        0.259      12
   6.0        7.0      5.30700e-04      1.88105e-06        0.354      13
   7.0        8.0      4.09154e-04      2.05776e-06        0.503      13
   8.0        9.0      3.24431e-04      1.52172e-06        0.469      13
   9.0       10.0      2.63538e-04      2.00771e-06        0.762      13
  10.0       12.0      2.00385e-04      1.59117e-06        0.794      13
  12.0       14.0      1.46335e-04      1.53669e-06        1.050      13
  14.0       16.0      1.11365e-04      1.00195e-06        0.900      13
