#
#  CIJET_MassBin-3600-4200_CT10nlo_9000_RR+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      8.09560e-04      2.01135e-06        0.248      40
   2.0        3.0      3.63444e-04      1.44705e-06        0.398      43
   3.0        4.0      1.88712e-04      1.35580e-06        0.718      43
   4.0        5.0      1.06325e-04      6.79739e-07        0.639      12
   5.0        6.0      6.32917e-05      6.18500e-07        0.977      12
   6.0        7.0      3.81892e-05      6.77981e-07        1.775      13
   7.0        8.0      2.32915e-05      7.63575e-07        3.278      13
   8.0        9.0      1.41238e-05      5.69628e-07        4.033      13
   9.0       10.0      8.25585e-06      7.77088e-07        9.413      13
  10.0       12.0      3.02381e-06      5.54436e-07       18.336      13
  12.0       14.0     -1.30158e-07      4.79743e-07      368.586      13
  14.0       16.0     -1.64392e-06      3.95689e-07       24.070      13
