#
#  CIJET_MassBin-3600-4200_cteq66_13000_V-A+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.25595e-04      1.78239e-07        0.079      40
   2.0        3.0      1.34560e-04      2.02531e-07        0.151      43
   3.0        4.0      9.32049e-05      2.02124e-07        0.217      43
   4.0        5.0      6.87775e-05      1.40979e-07        0.205      12
   5.0        6.0      5.29175e-05      1.18485e-07        0.224      12
   6.0        7.0      4.19792e-05      1.62965e-07        0.388      13
   7.0        8.0      3.41331e-05      1.19191e-07        0.349      13
   8.0        9.0      2.82262e-05      1.61118e-07        0.571      13
   9.0       10.0      2.38123e-05      1.80192e-07        0.757      13
  10.0       12.0      1.88681e-05      7.59259e-08        0.402      13
  12.0       14.0      1.43958e-05      1.22302e-07        0.850      13
  14.0       16.0      1.12223e-05      1.05645e-07        0.941      13
