#
#  CIJET_MassBin-3600-4200_cteq66_15000_VV+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -7.04470e-05      7.71037e-07        1.094      40
   2.0        3.0     -5.36207e-05      7.28454e-07        1.359      43
   3.0        4.0     -4.62842e-05      6.75039e-07        1.458      43
   4.0        5.0     -4.07783e-05      3.08039e-07        0.755      12
   5.0        6.0     -3.57800e-05      2.62124e-07        0.733      12
   6.0        7.0     -3.17608e-05      3.96305e-07        1.248      13
   7.0        8.0     -2.81323e-05      5.05225e-07        1.796      13
   8.0        9.0     -2.48908e-05      3.26865e-07        1.313      13
   9.0       10.0     -2.20169e-05      5.30964e-07        2.412      13
  10.0       12.0     -1.86850e-05      3.38372e-07        1.811      13
  12.0       14.0     -1.45735e-05      3.54144e-07        2.430      13
  14.0       16.0     -1.18700e-05      2.30145e-07        1.939      13
