#
#  CIJET_MassBin-3600-4200_cteq66_5000_AA-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.33887e-02      3.79059e-05        0.071      40
   2.0        3.0      2.81937e-02      2.88694e-05        0.102      43
   3.0        4.0      1.78170e-02      2.89938e-05        0.163      43
   4.0        5.0      1.23925e-02      7.53778e-06        0.061      12
   5.0        6.0      9.16733e-03      1.12034e-05        0.122      12
   6.0        7.0      7.07431e-03      9.75008e-06        0.138      13
   7.0        8.0      5.64077e-03      1.03453e-05        0.183      13
   8.0        9.0      4.60654e-03      8.09954e-06        0.176      13
   9.0       10.0      3.83815e-03      9.17284e-06        0.239      13
  10.0       12.0      3.02288e-03      6.27546e-06        0.208      13
  12.0       14.0      2.26746e-03      5.27755e-06        0.233      13
  14.0       16.0      1.77385e-03      2.96778e-06        0.167      13
