#
#  CIJET_MassBin-3600-4200_cteq66_5000_RR+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.52280e-02      1.97679e-05        0.130      40
   2.0        3.0      7.51979e-03      1.21412e-05        0.161      43
   3.0        4.0      4.43263e-03      1.19901e-05        0.270      43
   4.0        5.0      2.89650e-03      4.85237e-06        0.168      12
   5.0        6.0      2.02900e-03      5.70486e-06        0.281      12
   6.0        7.0      1.48915e-03      4.84503e-06        0.325      13
   7.0        8.0      1.13523e-03      4.45634e-06        0.393      13
   8.0        9.0      8.90769e-04      3.66842e-06        0.412      13
   9.0       10.0      7.15177e-04      3.64123e-06        0.509      13
  10.0       12.0      5.36308e-04      3.36364e-06        0.627      13
  12.0       14.0      3.80281e-04      2.99218e-06        0.787      13
  14.0       16.0      2.83273e-04      2.14560e-06        0.757      13
