#
#  CIJET_MassBin-3600-4200_cteq66_7000_LL+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.16538e-03      5.26083e-06        0.166      40
   2.0        3.0      1.51902e-03      3.35579e-06        0.221      43
   3.0        4.0      8.64072e-04      3.25396e-06        0.377      43
   4.0        5.0      5.43675e-04      1.52859e-06        0.281      12
   5.0        6.0      3.66875e-04      1.54868e-06        0.422      12
   6.0        7.0      2.58862e-04      1.46432e-06        0.566      13
   7.0        8.0      1.89954e-04      1.50312e-06        0.791      13
   8.0        9.0      1.43708e-04      1.17577e-06        0.818      13
   9.0       10.0      1.11354e-04      1.36664e-06        1.227      13
  10.0       12.0      7.93346e-05      1.11792e-06        1.409      13
  12.0       14.0      5.31038e-05      9.88151e-07        1.861      13
  14.0       16.0      3.73827e-05      7.75939e-07        2.076      13
