#
#  CIJET_MassBin-3600-4200_cteq66_8000_LL-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.83105e-03      3.02934e-06        0.079      40
   2.0        3.0      1.98665e-03      2.11439e-06        0.106      43
   3.0        4.0      1.23879e-03      2.23136e-06        0.180      43
   4.0        5.0      8.55133e-04      6.00505e-07        0.070      12
   5.0        6.0      6.29767e-04      9.73591e-07        0.155      12
   6.0        7.0      4.85046e-04      9.88783e-07        0.204      13
   7.0        8.0      3.86238e-04      1.10720e-06        0.287      13
   8.0        9.0      3.15023e-04      8.02240e-07        0.255      13
   9.0       10.0      2.62023e-04      1.19733e-06        0.457      13
  10.0       12.0      2.06027e-04      5.90768e-07        0.287      13
  12.0       14.0      1.53519e-04      5.37563e-07        0.350      13
  14.0       16.0      1.19627e-04      3.84933e-07        0.322      13
