#
#  CIJET_MassBin-3600-4200_cteq66_9000_V-A+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.03190e-03      8.10191e-07        0.079      40
   2.0        3.0      6.14130e-04      7.65486e-07        0.125      43
   3.0        4.0      4.25967e-04      7.30206e-07        0.171      43
   4.0        5.0      3.15575e-04      4.37191e-07        0.139      12
   5.0        6.0      2.44133e-04      3.39340e-07        0.139      12
   6.0        7.0      1.94800e-04      3.71932e-07        0.191      13
   7.0        8.0      1.59431e-04      3.52100e-07        0.221      13
   8.0        9.0      1.32908e-04      3.94676e-07        0.297      13
   9.0       10.0      1.12877e-04      4.62158e-07        0.409      13
  10.0       12.0      9.07038e-05      1.78491e-07        0.197      13
  12.0       14.0      7.00846e-05      2.76424e-07        0.394      13
  14.0       16.0      5.57577e-05      2.43110e-07        0.436      13
