#
#  CIJET_MassBin-3600-4200_cteq6ll_10000_LL+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.88780e-04      6.02644e-07        0.087      40
   2.0        3.0      2.58772e-04      2.99464e-07        0.116      43
   3.0        4.0      8.61414e-05      2.40778e-07        0.280      43
   4.0        5.0      5.58317e-06      2.15560e-07        3.861      12
   5.0        6.0     -3.56408e-05      1.89279e-07        0.531      12
   6.0        7.0     -5.81400e-05      1.26293e-07        0.217      13
   7.0        8.0     -7.07508e-05      1.37566e-07        0.194      13
   8.0        9.0     -7.75254e-05      2.58316e-07        0.333      13
   9.0       10.0     -8.12454e-05      1.43098e-07        0.176      13
  10.0       12.0     -8.30692e-05      1.33133e-07        0.160      13
  12.0       14.0     -8.24038e-05      1.00957e-07        0.123      13
  14.0       16.0     -8.00077e-05      1.03775e-07        0.130      13
