#
#  CIJET_MassBin-3600-4200_cteq6ll_11000_V-A-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  11000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.85442e-04      1.82416e-07        0.031      40
   2.0        3.0      3.33877e-04      1.42824e-07        0.043      43
   3.0        4.0      2.24437e-04      7.24512e-08        0.032      43
   4.0        5.0      1.62867e-04      6.51339e-08        0.040      12
   5.0        6.0      1.24158e-04      9.00337e-08        0.073      12
   6.0        7.0      9.80623e-05      4.04462e-08        0.041      13
   7.0        8.0      7.95423e-05      3.11325e-08        0.039      13
   8.0        9.0      6.58531e-05      5.10530e-08        0.078      13
   9.0       10.0      5.55223e-05      3.11325e-08        0.056      13
  10.0       12.0      4.42988e-05      2.34657e-08        0.053      13
  12.0       14.0      3.38485e-05      1.89720e-08        0.056      13
  14.0       16.0      2.67546e-05      2.62569e-08        0.098      13
