#
#  CIJET_MassBin-3600-4200_cteq6ll_13000_VV+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.87103e-04      4.20919e-07        0.147      40
   2.0        3.0      5.38226e-05      2.83567e-07        0.527      43
   3.0        4.0     -4.32586e-05      1.98381e-07        0.459      43
   4.0        5.0     -8.70958e-05      2.14919e-07        0.247      12
   5.0        6.0     -1.07542e-04      2.15146e-07        0.200      12
   6.0        7.0     -1.16892e-04      1.49786e-07        0.128      13
   7.0        8.0     -1.20592e-04      1.44115e-07        0.120      13
   8.0        9.0     -1.20969e-04      3.09259e-07        0.256      13
   9.0       10.0     -1.19854e-04      1.56074e-07        0.130      13
  10.0       12.0     -1.16358e-04      1.36696e-07        0.117      13
  12.0       14.0     -1.10638e-04      1.24422e-07        0.112      13
  14.0       16.0     -1.04681e-04      1.33133e-07        0.127      13
