#
#  CIJET_MassBin-3600-4200_cteq6ll_17000_AA-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  17000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.22258e-03      5.00641e-07        0.041      40
   2.0        3.0      6.96047e-04      2.36390e-07        0.034      43
   3.0        4.0      4.81458e-04      1.93012e-07        0.040      43
   4.0        5.0      3.66325e-04      8.66025e-08        0.024      12
   5.0        6.0      2.95117e-04      1.11464e-07        0.038      12
   6.0        7.0      2.47069e-04      1.10940e-07        0.045      13
   7.0        8.0      2.12608e-04      1.11516e-07        0.052      13
   8.0        9.0      1.86600e-04      1.95789e-07        0.105      13
   9.0       10.0      1.66508e-04      1.25576e-07        0.075      13
  10.0       12.0      1.43850e-04      8.16497e-08        0.057      13
  12.0       14.0      1.21715e-04      8.00641e-08        0.066      13
  14.0       16.0      1.05773e-04      6.65062e-08        0.063      13
