#
#  CIJET_MassBin-3600-4200_cteq6ll_7000_AA+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.36638e-02      6.67467e-06        0.049      40
   2.0        3.0      6.81600e-03      2.77746e-06        0.041      43
   3.0        4.0      4.00826e-03      2.37139e-06        0.059      43
   4.0        5.0      2.57400e-03      1.53741e-06        0.060      12
   5.0        6.0      1.74575e-03      1.28806e-06        0.074      12
   6.0        7.0      1.22546e-03      9.67418e-07        0.079      13
   7.0        8.0      8.78962e-04      7.30911e-07        0.083      13
   8.0        9.0      6.38785e-04      8.89612e-07        0.139      13
   9.0       10.0      4.65500e-04      8.65063e-07        0.186      13
  10.0       12.0      2.89515e-04      6.20948e-07        0.214      13
  12.0       14.0      1.38065e-04      6.18259e-07        0.448      13
  14.0       16.0      4.50858e-05      5.58647e-07        1.239      13
