#
#  CIJET_MassBin-3600-4200_cteq6ll_8000_V-A+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.09270e-03      7.57865e-07        0.036      40
   2.0        3.0      1.19340e-03      4.94712e-07        0.041      43
   3.0        4.0      8.02223e-04      3.46985e-07        0.043      43
   4.0        5.0      5.82242e-04      2.71221e-07        0.047      12
   5.0        6.0      4.43792e-04      3.31548e-07        0.075      12
   6.0        7.0      3.50515e-04      1.57301e-07        0.045      13
   7.0        8.0      2.84315e-04      1.14354e-07        0.040      13
   8.0        9.0      2.35392e-04      1.84669e-07        0.078      13
   9.0       10.0      1.98454e-04      1.12660e-07        0.057      13
  10.0       12.0      1.58346e-04      8.77058e-08        0.055      13
  12.0       14.0      1.20988e-04      7.11625e-08        0.059      13
  14.0       16.0      9.56346e-05      8.75229e-08        0.092      13
