#
#  CIJET_MassBin-4200-8000_CT10nlo_10000_AA-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.15835e-03      1.07537e-06        0.093      40
   2.0        3.0      6.16819e-04      5.29265e-07        0.086      43
   3.0        4.0      3.93623e-04      4.82966e-07        0.123      43
   4.0        5.0      2.76500e-04      3.16228e-07        0.114       8
   5.0        6.0      2.05708e-04      3.31548e-07        0.161      12
   6.0        7.0      1.60023e-04      2.89119e-07        0.181      13
   7.0        8.0      1.28246e-04      1.94145e-07        0.151      13
   8.0        9.0      1.05100e-04      2.16025e-07        0.206      13
   9.0       10.0      8.78033e-05      2.67695e-07        0.305      12
  10.0       12.0      6.93269e-05      1.65347e-07        0.239      13
  12.0       14.0      5.21077e-05      1.39711e-07        0.268      13
  14.0       16.0      4.05377e-05      1.65550e-07        0.408      13
