#
#  CIJET_MassBin-4200-8000_CT10nlo_14000_VV-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  14000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.77815e-04      3.13418e-07        0.083      40
   2.0        3.0      2.01905e-04      1.86386e-07        0.092      43
   3.0        4.0      1.29381e-04      1.66556e-07        0.129      43
   4.0        5.0      9.12638e-05      9.39510e-08        0.103       8
   5.0        6.0      6.81233e-05      1.20554e-07        0.177      12
   6.0        7.0      5.30846e-05      1.13035e-07        0.213      13
   7.0        8.0      4.25815e-05      1.11493e-07        0.262      13
   8.0        9.0      3.49338e-05      8.91196e-08        0.255      13
   9.0       10.0      2.90975e-05      6.60750e-08        0.227      12
  10.0       12.0      2.30062e-05      6.38081e-08        0.277      13
  12.0       14.0      1.71831e-05      5.64040e-08        0.328      13
  14.0       16.0      1.32231e-05      7.40928e-08        0.560      13
