#
#  CIJET_MassBin-4200-8000_CT10nlo_15000_LL+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -4.23125e-06      6.77044e-08        1.600      40
   2.0        3.0     -5.42135e-06      6.09066e-08        1.123      43
   3.0        4.0     -5.51293e-06      5.22031e-08        0.947      43
   4.0        5.0     -5.09338e-06      2.72865e-08        0.536       8
   5.0        6.0     -4.55825e-06      5.58995e-08        1.226      12
   6.0        7.0     -4.00169e-06      4.00965e-08        1.002      13
   7.0        8.0     -3.52146e-06      3.13066e-08        0.889      13
   8.0        9.0     -3.09069e-06      3.27856e-08        1.061      13
   9.0       10.0     -2.70383e-06      5.27513e-08        1.951      12
  10.0       12.0     -2.25585e-06      2.69493e-08        1.195      13
  12.0       14.0     -1.74042e-06      2.28709e-08        1.314      13
  14.0       16.0     -1.34196e-06      2.63324e-08        1.962      13
