#
#  CIJET_MassBin-4200-8000_CT10nlo_5000_LL-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.15910e-03      6.41233e-06        0.104      40
   2.0        3.0      3.13128e-03      3.07312e-06        0.098      43
   3.0        4.0      1.91130e-03      3.03578e-06        0.159      43
   4.0        5.0      1.29525e-03      2.12132e-06        0.164       8
   5.0        6.0      9.35600e-04      2.16879e-06        0.232      12
   6.0        7.0      7.10946e-04      1.34636e-06        0.189      13
   7.0        8.0      5.58346e-04      9.59701e-07        0.172      13
   8.0        9.0      4.50069e-04      1.01274e-06        0.225      13
   9.0       10.0      3.70367e-04      9.28668e-07        0.251      12
  10.0       12.0      2.87712e-04      6.31517e-07        0.219      13
  12.0       14.0      2.12435e-04      3.86967e-07        0.182      13
  14.0       16.0      1.63115e-04      6.27955e-07        0.385      13
