#
#  CIJET_MassBin-4200-8000_CT10nlo_5000_V-A-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.95650e-03      2.49101e-06        0.084      40
   2.0        3.0      1.76816e-03      2.28796e-06        0.129      43
   3.0        4.0      1.22881e-03      1.65120e-06        0.134      43
   4.0        5.0      9.11362e-04      1.32873e-06        0.146       8
   5.0        6.0      7.03058e-04      7.78645e-07        0.111      12
   6.0        7.0      5.60346e-04      7.21821e-07        0.129      13
   7.0        8.0      4.56992e-04      2.87117e-07        0.063      13
   8.0        9.0      3.79915e-04      9.69404e-07        0.255      13
   9.0       10.0      3.20692e-04      9.54852e-07        0.298      12
  10.0       12.0      2.56812e-04      4.42603e-07        0.172      13
  12.0       14.0      1.96096e-04      2.97533e-07        0.152      13
  14.0       16.0      1.54492e-04      3.67903e-07        0.238      13
