#
#  CIJET_MassBin-4200-8000_CT10nlo_7000_AA+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   7000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.93260e-03      3.44033e-06        0.117      40
   2.0        3.0      1.51298e-03      1.83210e-06        0.121      43
   3.0        4.0      9.30270e-04      1.62239e-06        0.174      43
   4.0        5.0      6.30587e-04      1.06293e-06        0.169       8
   5.0        6.0      4.53525e-04      1.24836e-06        0.275      12
   6.0        7.0      3.42708e-04      7.64266e-07        0.223      13
   7.0        8.0      2.67169e-04      3.17240e-07        0.119      13
   8.0        9.0      2.13877e-04      6.45696e-07        0.302      13
   9.0       10.0      1.74883e-04      1.01160e-06        0.578      12
  10.0       12.0      1.34677e-04      4.22599e-07        0.314      13
  12.0       14.0      9.87846e-05      2.88231e-07        0.292      13
  14.0       16.0      7.56500e-05      3.37268e-07        0.446      13
