#
#  CIJET_MassBin-4200-8000_CT10nlo_9000_AA-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.68447e-03      1.60108e-06        0.095      40
   2.0        3.0      8.95181e-04      7.54433e-07        0.084      43
   3.0        4.0      5.70009e-04      6.94130e-07        0.122      43
   4.0        5.0      3.99638e-04      4.53360e-07        0.113       8
   5.0        6.0      2.96817e-04      4.66775e-07        0.157      12
   6.0        7.0      2.30600e-04      3.82971e-07        0.166      13
   7.0        8.0      1.84631e-04      2.68901e-07        0.146      13
   8.0        9.0      1.51169e-04      2.81024e-07        0.186      13
   9.0       10.0      1.26250e-04      3.34392e-07        0.265      12
  10.0       12.0      9.96538e-05      2.25889e-07        0.227      13
  12.0       14.0      7.49346e-05      1.77229e-07        0.237      13
  14.0       16.0      5.83615e-05      2.20939e-07        0.379      13
