#
#  CIJET_MassBin-4200-8000_cteq66_10000_V-A-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.92455e-04      1.61642e-07        0.084      40
   2.0        3.0      1.13677e-04      1.64515e-07        0.145      43
   3.0        4.0      7.82560e-05      1.25701e-07        0.161      43
   4.0        5.0      5.76900e-05      8.66850e-08        0.150       8
   5.0        6.0      4.43025e-05      6.39780e-08        0.144      12
   6.0        7.0      3.51777e-05      6.11220e-08        0.174      13
   7.0        8.0      2.85838e-05      5.29998e-08        0.185      13
   8.0        9.0      2.37192e-05      8.69350e-08        0.367      13
   9.0       10.0      1.99142e-05      1.27312e-07        0.639      12
  10.0       12.0      1.59619e-05      3.97145e-08        0.249      13
  12.0       14.0      1.21335e-05      3.72147e-08        0.307      13
  14.0       16.0      9.50231e-06      5.19862e-08        0.547      13
