#
#  CIJET_MassBin-4200-8000_cteq66_11000_VV-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  11000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      8.38327e-04      7.39711e-07        0.088      40
   2.0        3.0      4.46179e-04      3.73884e-07        0.084      43
   3.0        4.0      2.84628e-04      3.45946e-07        0.122      43
   4.0        5.0      1.99913e-04      1.88509e-07        0.094       8
   5.0        6.0      1.48692e-04      2.39159e-07        0.161      12
   6.0        7.0      1.15569e-04      2.25036e-07        0.195      13
   7.0        8.0      9.25208e-05      1.91810e-07        0.207      13
   8.0        9.0      7.57846e-05      1.67213e-07        0.221      13
   9.0       10.0      6.31117e-05      1.14720e-07        0.182      12
  10.0       12.0      4.98500e-05      1.16440e-07        0.234      13
  12.0       14.0      3.73173e-05      9.75025e-08        0.261      13
  14.0       16.0      2.88446e-05      1.30343e-07        0.452      13
