#
#  CIJET_MassBin-4200-8000_cteq66_12000_RR+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  12000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      4.50623e-05      1.59623e-07        0.354      40
   2.0        3.0      1.72123e-05      1.12881e-07        0.656      43
   3.0        4.0      6.62202e-06      9.93880e-08        1.501      43
   4.0        5.0      2.05387e-06      5.76230e-08        2.806       8
   5.0        6.0     -1.23358e-07      9.74270e-08       78.979      12
   6.0        7.0     -1.09525e-06      6.78213e-08        6.192      13
   7.0        8.0     -1.58523e-06      4.55140e-08        2.871      13
   8.0        9.0     -1.77277e-06      5.48834e-08        3.096      13
   9.0       10.0     -1.79367e-06      8.90509e-08        4.965      12
  10.0       12.0     -1.72481e-06      4.38223e-08        2.541      13
  12.0       14.0     -1.48265e-06      3.67964e-08        2.482      13
  14.0       16.0     -1.21315e-06      4.17883e-08        3.445      13
