#
#  CIJET_MassBin-4200-8000_cteq66_13000_LL+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.87287e-05      1.16050e-07        0.620      40
   2.0        3.0      4.82249e-06      8.98738e-08        1.864      43
   3.0        4.0     -2.53134e-07      7.73744e-08       30.567      43
   4.0        5.0     -2.16875e-06      4.28311e-08        1.975       8
   5.0        6.0     -2.88058e-06      7.77320e-08        2.698      12
   6.0        7.0     -3.00423e-06      5.63947e-08        1.877      13
   7.0        8.0     -2.94762e-06      3.95675e-08        1.342      13
   8.0        9.0     -2.77492e-06      4.55530e-08        1.642      13
   9.0       10.0     -2.55083e-06      7.34152e-08        2.878      12
  10.0       12.0     -2.24438e-06      3.63737e-08        1.621      13
  12.0       14.0     -1.81708e-06      3.11868e-08        1.716      13
  14.0       16.0     -1.44588e-06      3.54584e-08        2.452      13
