#
#  CIJET_MassBin-4200-8000_cteq66_5000_RR-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   5000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      6.07715e-03      6.44722e-06        0.106      40
   2.0        3.0      3.09374e-03      3.00866e-06        0.097      43
   3.0        4.0      1.89133e-03      2.97386e-06        0.157      43
   4.0        5.0      1.28312e-03      1.95941e-06        0.153       8
   5.0        6.0      9.27833e-04      2.13300e-06        0.230      12
   6.0        7.0      7.05615e-04      1.32152e-06        0.187      13
   7.0        8.0      5.54654e-04      9.20702e-07        0.166      13
   8.0        9.0      4.47400e-04      1.02144e-06        0.228      13
   9.0       10.0      3.68425e-04      9.16639e-07        0.249      12
  10.0       12.0      2.86442e-04      6.49951e-07        0.227      13
  12.0       14.0      2.11762e-04      3.86843e-07        0.183      13
  14.0       16.0      1.62788e-04      6.32177e-07        0.388      13
