#
#  CIJET_MassBin-4200-8000_cteq66_8000_VV-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.58113e-03      2.50320e-06        0.097      40
   2.0        3.0      1.36549e-03      1.22226e-06        0.090      43
   3.0        4.0      8.65102e-04      1.05345e-06        0.122      43
   4.0        5.0      6.03712e-04      6.66414e-07        0.110       8
   5.0        6.0      4.46450e-04      6.84238e-07        0.153      12
   6.0        7.0      3.45400e-04      5.71548e-07        0.165      13
   7.0        8.0      2.75400e-04      4.39697e-07        0.160      13
   8.0        9.0      2.24831e-04      4.53477e-07        0.202      13
   9.0       10.0      1.86850e-04      3.11886e-07        0.167      12
  10.0       12.0      1.47085e-04      3.03716e-07        0.206      13
  12.0       14.0      1.09962e-04      2.25605e-07        0.205      13
  14.0       16.0      8.50962e-05      3.08533e-07        0.363      13
