#
#  CIJET_MassBin-4200-8000_cteq66_9000_V-A-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.91508e-04      2.54586e-07        0.087      40
   2.0        3.0      1.72372e-04      2.35357e-07        0.137      43
   3.0        4.0      1.18749e-04      1.83059e-07        0.154      43
   4.0        5.0      8.75675e-05      1.28258e-07        0.146       8
   5.0        6.0      6.72542e-05      9.23883e-08        0.137      12
   6.0        7.0      5.34038e-05      8.43147e-08        0.158      13
   7.0        8.0      4.33946e-05      6.26652e-08        0.144      13
   8.0        9.0      3.59985e-05      1.21576e-07        0.338      13
   9.0       10.0      3.02400e-05      1.64427e-07        0.544      12
  10.0       12.0      2.42081e-05      5.30149e-08        0.219      13
  12.0       14.0      1.83938e-05      4.78345e-08        0.260      13
  14.0       16.0      1.44073e-05      6.61317e-08        0.459      13
