#
#  CIJET_MassBin-4200-8000_cteq66_9000_VV+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      8.82793e-04      1.20200e-06        0.136      40
   2.0        3.0      4.52372e-04      6.84636e-07        0.151      43
   3.0        4.0      2.75672e-04      5.87702e-07        0.213      43
   4.0        5.0      1.85063e-04      3.54310e-07        0.191       8
   5.0        6.0      1.31892e-04      4.96274e-07        0.376      12
   6.0        7.0      9.89923e-05      2.89314e-07        0.292      13
   7.0        8.0      7.67200e-05      2.11424e-07        0.276      13
   8.0        9.0      6.10923e-05      2.37703e-07        0.389      13
   9.0       10.0      4.99600e-05      3.48060e-07        0.697      12
  10.0       12.0      3.82646e-05      1.90629e-07        0.498      13
  12.0       14.0      2.82131e-05      1.32485e-07        0.470      13
  14.0       16.0      2.19235e-05      1.72293e-07        0.786      13
