#
#  CIJET_MassBin-4200-8000_cteq6ll_13000_AA+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      1.66195e-04      1.15359e-07        0.069      40
   2.0        3.0      6.51474e-05      8.73987e-08        0.134      43
   3.0        4.0      2.34316e-05      6.84499e-08        0.292      43
   4.0        5.0      3.23063e-06      4.73284e-08        1.465       8
   5.0        6.0     -7.57292e-06      1.02257e-07        1.350      12
   6.0        7.0     -1.35915e-05      8.30508e-08        0.611      13
   7.0        8.0     -1.71638e-05      4.13397e-08        0.241      13
   8.0        9.0     -1.92138e-05      5.26844e-08        0.274      13
   9.0       10.0     -2.04117e-05      4.64823e-08        0.228      12
  10.0       12.0     -2.11408e-05      4.15254e-08        0.196      13
  12.0       14.0     -2.12492e-05      3.41471e-08        0.161      13
  14.0       16.0     -2.08208e-05      3.82887e-08        0.184      13
