#
#  CIJET_MassBin-4200-8000_cteq6ll_15000_RR+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -1.98953e-06      2.89677e-08        1.456      40
   2.0        3.0     -1.04660e-05      2.58328e-08        0.247      43
   3.0        4.0     -1.38005e-05      2.51617e-08        0.182      43
   4.0        5.0     -1.47813e-05      1.45774e-08        0.099       8
   5.0        6.0     -1.48192e-05      3.26018e-08        0.220      12
   6.0        7.0     -1.44485e-05      2.82389e-08        0.195      13
   7.0        8.0     -1.39562e-05      1.75777e-08        0.126      13
   8.0        9.0     -1.33923e-05      1.83275e-08        0.137      13
   9.0       10.0     -1.28442e-05      1.50504e-08        0.117      12
  10.0       12.0     -1.20492e-05      1.66891e-08        0.139      13
  12.0       14.0     -1.11015e-05      1.17942e-08        0.106      13
  14.0       16.0     -1.02773e-05      1.46651e-08        0.143      13
