#
#  CIJET_MassBin-4200-8000_cteq6ll_17000_VV-.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  17000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.11440e-04      1.17233e-07        0.038      40
   2.0        3.0      1.75984e-04      7.21448e-08        0.041      43
   3.0        4.0      1.20807e-04      7.03574e-08        0.058      43
   4.0        5.0      9.12900e-05      3.02372e-08        0.033       8
   5.0        6.0      7.31167e-05      4.18511e-08        0.057      12
   6.0        7.0      6.09138e-05      3.54820e-08        0.058      13
   7.0        8.0      5.22162e-05      3.66375e-08        0.070      13
   8.0        9.0      4.56792e-05      2.84199e-08        0.062      13
   9.0       10.0      4.06375e-05      2.17945e-08        0.054      12
  10.0       12.0      3.49769e-05      2.82503e-08        0.081      13
  12.0       14.0      2.94792e-05      2.03967e-08        0.069      13
  14.0       16.0      2.55300e-05      2.28218e-08        0.089      13
